director,film,actor,gender,space,role
Agnieszka Holland,Golden Dreams,Galen Yuen,m,0.0002,Chinese Father
Agnieszka Holland,The Wire (2004-2008),Dominic West,m,0.0002,Det. James 'Jimmy' McNulty / ...
Agnieszka Holland,The Wire (2004-2008),John Doman,m,0.0002,Dep. Comm. for Operations William A. Rawls / ...
Agnieszka Holland,The Wire (2004-2008),Deirdre Lovejoy,f,0.0002,Asst. State's Atty. Rhonda Pearlman
Agnieszka Holland,The Wire (2004-2008),Wendell Pierce,m,0.0002,Det. William 'Bunk' Moreland
Agnieszka Holland,The Wire (2004-2008),Lance Reddick,m,0.0002,Lt. Cedric Daniels / ...
Agnieszka Holland,The Wire (2004-2008),Sonja Sohn,f,0.0002,Det. Shakima 'Kima' Greggs
Agnieszka Holland,The Wire (2004-2008),Seth Gilliam,m,0.0002,Sgt. Ellis Carver / ...
Agnieszka Holland,The Wire (2004-2008),Domenick Lombardozzi,m,0.0002,Det. Thomas 'Herc' Hauk / ...
Agnieszka Holland,The Wire (2004-2008),Clarke Peters,m,0.0002,Det. Lester Freamon
Agnieszka Holland,The Wire (2004-2008),Andre Royo,m,0.0002,Reginald 'Bubbles' Cousins
Agnieszka Holland,The Wire (2004-2008),Michael Kenneth Williams,m,0.0002,Omar Little
Agnieszka Holland,The Wire (2004-2008),Jim True-Frost,m,0.0002,Det. Roland 'Prez' Pryzbylewski / ...
Agnieszka Holland,The Wire (2004-2008),Frankie Faison,m,0.0002,Acting Commissioner Ervin H. Burrell / ...
Agnieszka Holland,The Wire (2004-2008),Corey Parker Robinson,m,0.0002,Det. Leander Sydnor
Agnieszka Holland,The Wire (2004-2008),Delaney Williams,m,0.0002,Sgt. Jay Landsman
Agnieszka Holland,The Wire (2004-2008),J.D. Williams,m,0.0002,Preston 'Bodie' Broadus
Agnieszka Holland,The Wire (2004-2008),Wood Harris,m,0.0002,Avon Barksdale
Agnieszka Holland,The Wire (2004-2008),Idris Elba,m,0.0002,Russell 'Stringer' Bell
Agnieszka Holland,The Wire (2004-2008),Aidan Gillen,m,0.0002,Councilman Thomas 'Tommy' Carcetti / ...
Agnieszka Holland,The Wire (2004-2008),Jamie Hector,m,0.0002,Marlo Stanfield
Agnieszka Holland,The Wire (2004-2008),Gbenga Akinnagbe,m,0.0002,Chris Partlow / ...
Agnieszka Holland,The Wire (2004-2008),Robert Wisdom,m,0.0002,Howard 'Bunny' Colvin / ...
Agnieszka Holland,The Wire (2004-2008),Anwan Glover,m,0.0002,Slim Charles
Agnieszka Holland,The Wire (2004-2008),Felicia Pearson,f,0.0002,Felicia 'Snoop' Pearson
Agnieszka Holland,The Wire (2004-2008),Chad L. Coleman,m,0.0002,Dennis 'Cutty' Wise
Agnieszka Holland,The Wire (2004-2008),Tray Chaney,m,0.0002,Malik 'Poot' Carr
Agnieszka Holland,The Wire (2004-2008),Michael Kostroff,m,0.0002,Maurice 'Maury' Levy
Agnieszka Holland,The Wire (2004-2008),Isiah Whitlock Jr.,m,0.0002,State Sen. R. Clayton 'Clay' Davis
Agnieszka Holland,The Wire (2004-2008),Robert F. Chew,m,0.0002,Joseph 'Proposition Joe' Stewart
Agnieszka Holland,The Wire (2004-2008),Michael Salconi,m,0.0002,Off. Michael 'Sanny' Santangelo / ...
Agnieszka Holland,The Wire (2004-2008),Reg E. Cathey,m,0.0002,Norman Wilson
Agnieszka Holland,The Wire (2004-2008),Jermaine Crawford,m,0.0002,Duquan 'Dukie' Weems
Agnieszka Holland,The Wire (2004-2008),Tristan Mack Wilds,m,0.0002,Michael Lee
Agnieszka Holland,The Wire (2004-2008),Glynn Turman,m,0.0002,Mayor Clarence V. Royce / ...
Agnieszka Holland,The Wire (2004-2008),Edward T. Norris,m,0.0002,Det. Edward Norris
Agnieszka Holland,The Wire (2004-2008),Amy Ryan,f,0.0002,Off. Beatrice 'Beadie' Russell
Agnieszka Holland,The Wire (2004-2008),Al Brown,m,0.0002,Maj. Stanislaus Valchek / ...
Agnieszka Holland,The Wire (2004-2008),Richard Burton,m,0.0002,Sean 'Shamrock' McGinty
Agnieszka Holland,The Wire (2004-2008),Benjamin Busch,m,0.0002,Off. Anthony Colicchio
Agnieszka Holland,The Wire (2004-2008),Ryan Sands,m,0.0002,Off. Lloyd 'Truck' Garrick
Agnieszka Holland,The Wire (2004-2008),Hassan Johnson,m,0.0002,Roland 'Wee-Bey' Brice
Agnieszka Holland,The Wire (2004-2008),Brian Anthony Wilson,m,0.0002,Det. Vernon Holley
Agnieszka Holland,The Wire (2004-2008),Gregory L. Williams,m,0.0002,Det. Michael Crutchfield
Agnieszka Holland,The Wire (2004-2008),Lawrence Gilliard Jr.,m,0.0002,D'Angelo Barksdale
Agnieszka Holland,The Wire (2004-2008),Jay Landsman,m,0.0002,Lt. Dennis Mello / ...
Agnieszka Holland,The Wire (2004-2008),Thuliso Dingwall,m,0.0002,Kenard
Agnieszka Holland,The Wire (2004-2008),Paul Ben-Victor,m,0.0002,Spiros 'Vondas' Vondopoulos
Agnieszka Holland,The Wire (2004-2008),Edward Bernard Green Jr.,m,0.0002,Spider
Agnieszka Holland,The Wire (2004-2008),Kwame Patterson,m,0.0002,'Monk' Metcalf
Agnieszka Holland,The Wire (2004-2008),Maria Broom,f,0.0002,Marla Daniels
Agnieszka Holland,House of Cards (2015-2017),Robin Wright,f,0.0002,Claire Underwood
Agnieszka Holland,House of Cards (2015-2017),Michael Kelly,m,0.0002,Doug Stamper
Agnieszka Holland,House of Cards (2015-2017),Kevin Spacey,m,0.0002,Francis Underwood
Agnieszka Holland,House of Cards (2015-2017),Justin Doescher,m,0.0002,Frank Underwood Security / ...
Agnieszka Holland,House of Cards (2015-2017),Derek Cecil,m,0.0002,Seth Grayson
Agnieszka Holland,House of Cards (2015-2017),Jayne Atkinson,f,0.0002,Catherine Durant
Agnieszka Holland,House of Cards (2015-2017),Nathan Darrow,m,0.0002,Edward Meechum
Agnieszka Holland,House of Cards (2015-2017),Mahershala Ali,m,0.0002,Remy Danton
Agnieszka Holland,House of Cards (2015-2017),Boris McGiver,m,0.0002,Tom Hammerschmidt
Agnieszka Holland,House of Cards (2015-2017),Paul Sparks,m,0.0002,Thomas Yates
Agnieszka Holland,House of Cards (2015-2017),Gary Ayash,m,0.0002,White House Press Corp Reporter / ...
Agnieszka Holland,House of Cards (2015-2017),Jeremy Holm,m,0.0002,Nathan Green
Agnieszka Holland,House of Cards (2015-2017),Molly Parker,f,0.0002,Jackie Sharp
Agnieszka Holland,House of Cards (2015-2017),Neve Campbell,f,0.0002,Leann Harvey
Agnieszka Holland,House of Cards (2015-2017),Michel Gill,m,0.0002,President Garrett Walker / ...
Agnieszka Holland,House of Cards (2015-2017),Marla Aaron Wapner,f,0.0002,WH Press Corp / ...
Agnieszka Holland,House of Cards (2015-2017),Nini Le Huynh,f,0.0002,Claire's Assistant / ...
Agnieszka Holland,House of Cards (2015-2017),Elizabeth Marvel,f,0.0002,Heather Dunbar
Agnieszka Holland,House of Cards (2015-2017),Larry Pine,m,0.0002,Bob Birch
Agnieszka Holland,House of Cards (2015-2017),Gregory Divers,m,0.0002,White House Press Corps / ...
Agnieszka Holland,House of Cards (2015-2017),Campbell Scott,m,0.0002,Mark Usher
Agnieszka Holland,House of Cards (2015-2017),Sakina Jaffrey,f,0.0002,Linda Vasquez
Agnieszka Holland,House of Cards (2015-2017),Constance Zimmer,f,0.0002,Janine Skorsky
Agnieszka Holland,House of Cards (2015-2017),Rachel Brosnahan,f,0.0002,Rachel Posner / ...
Agnieszka Holland,House of Cards (2015-2017),Curtiss Cook,m,0.0002,Terry Womack
Agnieszka Holland,House of Cards (2015-2017),Reed Birney,m,0.0002,Donald Blythe / ...
Agnieszka Holland,House of Cards (2015-2017),John Wells,m,0.0002,Congressman / ...
Agnieszka Holland,House of Cards (2015-2017),Kristen Connolly,f,0.0002,Christina Gallagher
Agnieszka Holland,House of Cards (2015-2017),Sebastian Arcelus,m,0.0002,Lucas Goodwin
Agnieszka Holland,House of Cards (2015-2017),Jimmi Simpson,m,0.0002,Gavin Orsay
Agnieszka Holland,House of Cards (2015-2017),Antoinette Montgomery,f,0.0002,White House Press Corps
Agnieszka Holland,House of Cards (2015-2017),Gerald McRaney,m,0.0002,Raymond Tusk
Agnieszka Holland,House of Cards (2015-2017),Dominique McElligott,f,0.0002,Hannah Conway
Agnieszka Holland,House of Cards (2015-2017),Joel Kinnaman,m,0.0002,Will Conway
Agnieszka Holland,House of Cards (2015-2017),Damian Young,m,0.0002,Aidan Macallan / ...
Agnieszka Holland,House of Cards (2015-2017),Reg E. Cathey,m,0.0002,Freddy
Agnieszka Holland,House of Cards (2015-2017),Kate Mara,f,0.0002,Zoe Barnes
Agnieszka Holland,House of Cards (2015-2017),Elizabeth Norment,f,0.0002,Nancy Kaufberger
Agnieszka Holland,House of Cards (2015-2017),Julian Gamble,m,0.0002,Chairman of Joint Chiefs / ...
Agnieszka Holland,House of Cards (2015-2017),Lars Mikkelsen,m,0.0002,Viktor Petrov
Agnieszka Holland,House of Cards (2015-2017),Corey Stoll,m,0.0002,Rep. Peter Russo
Agnieszka Holland,House of Cards (2015-2017),Colm Feore,m,0.0002,General Brockhart / ...
Agnieszka Holland,House of Cards (2015-2017),Kate Lyn Sheil,f,0.0002,Lisa Williams
Agnieszka Holland,House of Cards (2015-2017),Tatyana N. Pokrovskaya,f,0.0002,Protester / ...
Agnieszka Holland,House of Cards (2015-2017),Patricia Clarkson,f,0.0002,Jane Davis
Agnieszka Holland,House of Cards (2015-2017),Korey Jackson,m,0.0002,Sean Jeffries
Agnieszka Holland,House of Cards (2015-2017),Mozhan Marnò,f,0.0002,Ayla Sayyad
Agnieszka Holland,House of Cards (2015-2017),Mercedes Herrero,f,0.0002,Director of National Intelligence / ...
Agnieszka Holland,House of Cards (2015-2017),John Rue,m,0.0002,CIA Director
Agnieszka Holland,House of Cards (2015-2017),Tim Pabon,m,0.0002,Reporter / ...
Agnieszka Holland,Rosemary's Baby,Zoe Saldana,f,0.0002,Rosemary Woodhouse
Agnieszka Holland,Rosemary's Baby,Patrick J. Adams,m,0.0002,Guy Woodhouse
Agnieszka Holland,Rosemary's Baby,Carole Bouquet,f,0.0002,Margaux Castevet
Agnieszka Holland,Rosemary's Baby,Christina Cole,f,0.0002,Julie
Agnieszka Holland,Rosemary's Baby,Jason Isaacs,m,0.0002,Roman Castevet
Agnieszka Holland,Rosemary's Baby,Olivier Rabourdin,m,0.0002,Commissioner Fontaine
Agnieszka Holland,Rosemary's Baby,François Civil,m,0.0002,Jacques
Agnieszka Holland,Rosemary's Baby,Rosemarie La Vaullée,f,0.0002,Victoria Plasir
Agnieszka Holland,Rosemary's Baby,Eva Lutz,f,0.0002,Laura Veaulieu
Agnieszka Holland,Rosemary's Baby,Wojciech Pszoniak,m,0.0002,Mr. Wees
Agnieszka Holland,Rosemary's Baby,Hiro Uchiyama,m,0.0002,Yoshiro Kawashiri
Agnieszka Holland,Rosemary's Baby,Joseph Malerba,m,0.0002,Paul
Agnieszka Holland,Rosemary's Baby,Stany Coppet,m,0.0002,Anesthesiologist
Agnieszka Holland,Rosemary's Baby,Stefano Cassetti,m,0.0002,Blue-Eyed Man
Agnieszka Holland,Rosemary's Baby,Victoire Bélézy,f,0.0002,Nena
Agnieszka Holland,Rosemary's Baby,Cyril Casmèze,m,0.0002,Emile
Agnieszka Holland,Rosemary's Baby,Stéphane Boucher,m,0.0002,Chef
Agnieszka Holland,Rosemary's Baby,Franck Vincent,m,0.0002,Xavier Exahros
Agnieszka Holland,Rosemary's Baby,Agathe Anquez,f,0.0002,
Agnieszka Holland,Rosemary's Baby,Hélène Cardona,f,0.0002,
Agnieszka Holland,Rosemary's Baby,Guillaume Dabinpons,m,0.0002,
Agnieszka Holland,Rosemary's Baby,Féodor Atkine,m,0.0002,Dr. Sapirstein
Agnieszka Holland,Rosemary's Baby,Sarah Stern,f,0.0002,Female Surgeon
Agnieszka Holland,Rosemary's Baby,Oisín Stack,m,0.0002,Dr. Bernard
Agnieszka Holland,Rosemary's Baby,Frédéric Pierrot,m,0.0002,Father Tekem
Agnieszka Holland,Rosemary's Baby,Hamidreza Djavdan,m,0.0002,Father Alim
Agnieszka Holland,Rosemary's Baby,Didier Sauvegrain,m,0.0002,Dr. Carraro
Agnieszka Holland,Rosemary's Baby,Jane Bertish,f,0.0002,Hildegard Bishop
Agnieszka Holland,Rosemary's Baby,Matthew Gravelle,m,0.0002,Howard
Agnieszka Holland,Rosemary's Baby,Ian McCamy,m,0.0002,Alec
Agnieszka Holland,Rosemary's Baby,Pierre Aussedat,m,0.0002,Surgeon
Agnieszka Holland,Rosemary's Baby,Joe Sheridan,m,0.0002,Catacombs Tourist
Agnieszka Holland,Rosemary's Baby,Dominique Fouassier,m,0.0002,Chauffeur
Agnieszka Holland,Rosemary's Baby,Marie Piémontèse,f,0.0002,Hospital Administrator
Agnieszka Holland,Rosemary's Baby,Olivia Ross,f,0.0002,Tour Guide
Agnieszka Holland,Rosemary's Baby,Weronika Rosati,f,0.0002,Ginger
Agnieszka Holland,Rosemary's Baby,Sébastien Fouassier,m,0.0002,Male Student
Agnieszka Holland,Rosemary's Baby,Dylan Pulido,m,0.0002,Gypsy Boy
Agnieszka Holland,Rosemary's Baby,Aurélien Grelier,m,0.0002,Driver
Agnieszka Holland,Rosemary's Baby,Chrystel Seyvecou,f,0.0002,Nurse #2
Agnieszka Holland,Rosemary's Baby,Édith Le Merdy,f,0.0002,Receptionist
Agnieszka Holland,Rosemary's Baby,Estelle Meyer,f,0.0002,Delphine Trench
Agnieszka Holland,Rosemary's Baby,Sophie Verbeeck,f,0.0002,Daphne Trench
Agnieszka Holland,Rosemary's Baby,Hélène Kuhn,f,0.0002,Woman Tourist
Agnieszka Holland,Rosemary's Baby,Tony Frank Paschall,m,0.0002,Dapper Gentleman
Agnieszka Holland,Rosemary's Baby,Tim Beckmann,m,0.0002,Doctor Liberman
Agnieszka Holland,Rosemary's Baby,Charlotte Marquardt,f,0.0002,Female Doctor
Agnieszka Holland,Rosemary's Baby,Thierry Harcourt,m,0.0002,Doctor Corte
Agnieszka Holland,Rosemary's Baby,Aurélia Petit,f,0.0002,Nurse
Agnieszka Holland,Rosemary's Baby,Sabine Crossen,f,0.0002,Prostitute
Agnieszka Holland,Television Theater,Jerzy Trela,m,0.0002,Adam / ...
Agnieszka Holland,Television Theater,Krzysztof Globisz,m,0.0002,Alan Coogan / ...
Agnieszka Holland,Television Theater,Krystyna Janda,f,0.0002,Wife - Narrator / ...
Agnieszka Holland,Television Theater,Jan Englert,m,0.0002,Cardinal Orsini / ...
Agnieszka Holland,Television Theater,Jan Peszek,m,0.0002,Abel Melveny / ...
Agnieszka Holland,Television Theater,Mariusz Bonaszewski,m,0.0002,Colonel / ...
Agnieszka Holland,Television Theater,Slawomir Orzechowski,m,0.0002,Aleksander Bochenski / ...
Agnieszka Holland,Television Theater,Piotr Fronczewski,m,0.0002,Alfons Kroll / ...
Agnieszka Holland,Television Theater,Piotr Adamczyk,m,0.0002,Alec Beasley / ...
Agnieszka Holland,Television Theater,Zbigniew Zapasiewicz,m,0.0002,Actor / ...
Agnieszka Holland,Television Theater,Adam Ferency,m,0.0002,Andrzej Towianski / ...
Agnieszka Holland,Television Theater,Janusz Michalowski,m,0.0002,Fisherman / ...
Agnieszka Holland,Television Theater,Wladyslaw Kowalski,m,0.0002,Doctor / ...
Agnieszka Holland,Television Theater,Artur Zmijewski,m,0.0002,Father / ...
Agnieszka Holland,Television Theater,Jan Frycz,m,0.0002,Andrew / ...
Agnieszka Holland,Television Theater,Andrzej Mastalerz,m,0.0002,Angel / ...
Agnieszka Holland,Television Theater,Jaroslaw Gajewski,m,0.0002,Adjutant / ...
Agnieszka Holland,Television Theater,Magdalena Cielecka,f,0.0002,Agnieszka / ...
Agnieszka Holland,Television Theater,Aleksandra Slaska,f,0.0002,Amelia / ...
Agnieszka Holland,Television Theater,Krzysztof Stroinski,m,0.0002,Adrian / ...
Agnieszka Holland,Television Theater,Waldemar Barwinski,m,0.0002,Servant / ...
Agnieszka Holland,Television Theater,Kinga Preis,f,0.0002,Anne / ...
Agnieszka Holland,Television Theater,Leon Charewicz,m,0.0002,Boleslaw Bierut / ...
Agnieszka Holland,Television Theater,Barbara Kaluzna,f,0.0002,Maid / ...
Agnieszka Holland,Television Theater,Grzegorz Malecki,m,0.0002,Albin / ...
Agnieszka Holland,Television Theater,Janusz Gajos,m,0.0002,Alexandr Ivanovich Tcheltsov / ...
Agnieszka Holland,Television Theater,Krzysztof Dracz,m,0.0002,Teacher / ...
Agnieszka Holland,Television Theater,Dominika Ostalowska,f,0.0002,Mother / ...
Agnieszka Holland,Television Theater,Gustaw Holoubek,m,0.0002,Father / ...
Agnieszka Holland,Television Theater,Dorota Landowska,f,0.0002,Aleksandra Szczerbinska-Pilsudska / ...
Agnieszka Holland,Television Theater,Zbigniew Zamachowski,m,0.0002,Alfred / ...
Agnieszka Holland,Television Theater,Danuta Stenka,f,0.0002,Adrienne Lecouvreur / ...
Agnieszka Holland,Television Theater,Anna Seniuk,f,0.0002,Agafia Tichonowna / ...
Agnieszka Holland,Television Theater,Maja Ostaszewska,f,0.0002,Her / ...
Agnieszka Holland,Television Theater,Maria Ciunelis,f,0.0002,Mother / ...
Agnieszka Holland,Television Theater,Marcin Tronski,m,0.0002,Doctor / ...
Agnieszka Holland,Television Theater,Jerzy Lapinski,m,0.0002,Actor / ...
Agnieszka Holland,Television Theater,Jacek Rozenek,m,0.0002,Alvaro / ...
Agnieszka Holland,Television Theater,Andrzej Zielinski,m,0.0002,Blazje / ...
Agnieszka Holland,Television Theater,Stanislawa Celinska,f,0.0002,Mother / ...
Agnieszka Holland,Television Theater,Grzegorz Damiecki,m,0.0002,Amanuensis / ...
Agnieszka Holland,Television Theater,Mariusz Benoit,m,0.0002,Abraham / ...
Agnieszka Holland,Television Theater,Cezary Kosinski,m,0.0002,Adam Poninski / ...
Agnieszka Holland,Television Theater,Anna Polony,f,0.0002,Aunt Daniela / ...
Agnieszka Holland,Television Theater,Marek Kalita,m,0.0002,Alek / ...
Agnieszka Holland,Television Theater,Arkadiusz Janiczek,m,0.0002,Abwehr officer / ...
Agnieszka Holland,Television Theater,Adam Warchol,m,0.0002,Manager
Agnieszka Holland,Television Theater,Wanda Marchlewska,f,0.0002,Cook
Agnieszka Holland,Television Theater,Joanna Szczepkowska,f,0.0002,Barbara / ...
Agnieszka Holland,Television Theater,Igor Przegrodzki,m,0.0002,Archbishop / ...
Agnieszka Holland,Spoor,Agnieszka Mandat,f,0.0002,Janina Duszejko
Agnieszka Holland,Spoor,Wiktor Zborowski,m,0.0002,Swietopelk Swierszczynski 'Matoga'
Agnieszka Holland,Spoor,Jakub Gierszal,m,0.0002,Dyzio
Agnieszka Holland,Spoor,Patricia Volny,f,0.0002,Dobra Nowina
Agnieszka Holland,Spoor,Miroslav Krobot,m,0.0002,Boros Sznajder
Agnieszka Holland,Spoor,Borys Szyc,m,0.0002,Jaroslaw Wnetrzak
Agnieszka Holland,Spoor,Tomasz Kot,m,0.0002,Prokurator Swierszczynski
Agnieszka Holland,Spoor,Andrzej Grabowski,m,0.0002,Prezes Wolski
Agnieszka Holland,Spoor,Katarzyna Herman,f,0.0002,Zona Prezesa
Agnieszka Holland,Spoor,Marcin Bosak,m,0.0002,Ksiadz Szelest
Agnieszka Holland,Spoor,Andrzej Konopka,m,0.0002,Komendant
Agnieszka Holland,Spoor,Sebastian Pawlak,m,0.0002,Listonosz
Agnieszka Holland,Spoor,Maciej Namyslo,m,0.0002,Investigator
Agnieszka Holland,Spoor,Katarzyna Skarzanka,f,0.0002,Dyrektorka
Agnieszka Holland,Spoor,Adam Bobik,m,0.0002,Young policeman
Agnieszka Holland,Spoor,Piotr Zurawski,m,0.0002,City guard
Agnieszka Holland,Spoor,Monika Anna Wojtyllo,f,0.0002,Female guard
Agnieszka Holland,Spoor,Adam Rucinski,m,0.0002,Big Foot
Agnieszka Holland,Spoor,Artur Krajewski,m,0.0002,'Whiskery' #2
Agnieszka Holland,Spoor,Aldona Struzik,f,0.0002,Secretary at the police station
Agnieszka Holland,Spoor,Katarzyna Bednarz,f,0.0002,Secretary in the prosecutor's office
Agnieszka Holland,Spoor,Edwin Bazanski,m,0.0002,
Agnieszka Holland,Spoor,Klaudia Cygon,f,0.0002,
Agnieszka Holland,Spoor,Joanna Gonschorek,f,0.0002,
Agnieszka Holland,Spoor,Ryszard Herba,m,0.0002,
Agnieszka Holland,Spoor,Aleksander Janiszewski,m,0.0002,
Agnieszka Holland,Spoor,Izabela Maciuszek,f,0.0002,
Agnieszka Holland,Spoor,Anita Poddebniak,f,0.0002,
Agnieszka Holland,Spoor,Juliusz Krzysztof Warunek,m,0.0002,'Whiskery'
Agnieszka Holland,Spoor,Zofia Wichlacz,f,0.0002,Matoga's mother
Agnieszka Holland,Spoor,Grzegorz Wojdon,m,0.0002,
Agnieszka Holland,Spoor,Katarzyna Wolak,f,0.0002,
Agnieszka Holland,Fever,Barbara Grabowska,f,0.0002,Kama
Agnieszka Holland,Fever,Adam Ferency,m,0.0002,Wojtek Kielza
Agnieszka Holland,Fever,Boguslaw Linda,m,0.0002,Gryziak
Agnieszka Holland,Fever,Olgierd Lukaszewicz,m,0.0002,Marek 'Leon'
Agnieszka Holland,Fever,Tomasz Miedzik,m,0.0002,Kamil
Agnieszka Holland,Fever,Aleksy Awdiejew,m,0.0002,Adiutant gubernatora
Agnieszka Holland,Fever,Wiktor Grotowicz,m,0.0002,Lokaj gubernatora
Agnieszka Holland,Fever,Tadeusz Huk,m,0.0002,'Chemik'
Agnieszka Holland,Fever,Michal Juszczakiewicz,m,0.0002,Michal Juszczik
Agnieszka Holland,Fever,Krzysztof Kiersznowski,m,0.0002,Bojowiecz
Agnieszka Holland,Fever,Marian Lacz,m,0.0002,wuj Kielzy
Agnieszka Holland,Fever,Pawel Nowisz,m,0.0002,prowokator 'Wartki'
Agnieszka Holland,Fever,Ryszard Sobolewski,m,0.0002,General gubernator
Agnieszka Holland,Fever,Michal Tarkowski,m,0.0002,Lekarz
Agnieszka Holland,Fever,Krzysztof Zaleski,m,0.0002,prowokator 'Czarny'
Agnieszka Holland,Fever,Zbigniew Zapasiewicz,m,0.0002,ojciec 'Leona'
Agnieszka Holland,Fever,Zbigniew Bielski,m,0.0002,Bojowiec
Agnieszka Holland,Fever,Maciej Borninski,m,0.0002,Szpicel
Agnieszka Holland,Fever,Grazyna Dylag,f,0.0002,Cecylia Kielza
Agnieszka Holland,Fever,Ireneusz Karamon,m,0.0002,Barman
Agnieszka Holland,Fever,Zbigniew Kosowski,m,0.0002,Szpicel
Agnieszka Holland,Fever,Ryszard Kubiak,m,0.0002,Skrzypek
Agnieszka Holland,Fever,Zuzanna Lozinska,f,0.0002,Cywikowa
Agnieszka Holland,Fever,Wojciech Machnicki,m,0.0002,Subiekt na wystawie
Agnieszka Holland,Fever,Zygmunt Malawski,m,0.0002,Portier w fabryke
Agnieszka Holland,Fever,Aleksander Mikolajczak,m,0.0002,Robotnik przed fabryka
Agnieszka Holland,Fever,Zbigniew Nawrocki,m,0.0002,Rewolucjonista
Agnieszka Holland,Fever,Marek Paczek,m,0.0002,Walek
Agnieszka Holland,Fever,Izydor Piliszewski,m,0.0002,Ostarszi
Agnieszka Holland,Fever,Antoni Pszoniak,m,0.0002,aptekarz Kazimierz
Agnieszka Holland,Fever,Maria Robaszkiewicz,f,0.0002,Gosc na wystawie
Agnieszka Holland,Fever,Alicja Sobieraj,f,0.0002,wujenka Kielzy
Agnieszka Holland,Fever,Eugeniusz Sobkiewicz,m,0.0002,Orawiec
Agnieszka Holland,Fever,Krzysztof Stachowski,m,0.0002,Szpicel
Agnieszka Holland,Fever,Andrzej Szenajch,m,0.0002,Lazienny
Agnieszka Holland,Fever,Jerzy Walden,m,0.0002,Gosc na wystawie
Agnieszka Holland,Fever,Grzegorz Wons,m,0.0002,Oficer zandarmerii detonujacy bombe
Agnieszka Holland,Fever,Ewa Worytkiewicz,f,0.0002,Weronika - sluzaca lekarza
